2025-12-15 00:00:50,225.6,0.142,23.0,3.917
2025-12-15 00:01:40,225.1,0.141,22.8,3.917
2025-12-15 00:02:31,225.0,0.14,22.7,3.917
2025-12-15 00:03:31,224.7,0.141,22.8,3.918
2025-12-15 00:04:24,224.2,0.141,22.7,3.918
2025-12-15 00:05:23,224.5,0.141,22.8,3.919
2025-12-15 00:06:14,224.7,0.141,22.9,3.919
2025-12-15 00:07:22,225.4,0.141,22.9,3.919
2025-12-15 00:08:26,224.9,0.14,22.7,3.92
2025-12-15 00:09:27,224.5,0.14,22.7,3.92
2025-12-15 00:10:27,224.6,0.14,22.6,3.921
2025-12-15 00:11:18,224.4,0.141,22.8,3.921
2025-12-15 00:12:12,224.8,0.141,22.8,3.921
2025-12-15 00:13:04,224.6,0.141,22.8,3.922
2025-12-15 00:14:06,225.0,0.14,22.7,3.922
2025-12-15 00:15:15,224.6,0.141,22.8,3.923
2025-12-15 00:16:24,225.3,0.142,23.0,3.923
2025-12-15 00:17:25,226.0,0.142,23.1,3.923
2025-12-15 00:18:30,225.4,0.141,22.9,3.924
2025-12-15 00:19:40,224.3,0.141,22.7,3.924
2025-12-15 00:20:36,224.5,0.14,22.6,3.924
2025-12-15 00:21:40,225.2,0.142,22.9,3.925
2025-12-15 00:22:42,225.1,0.142,22.9,3.925
2025-12-15 00:23:34,225.0,0.142,22.9,3.926
2025-12-15 00:24:32,225.0,0.141,22.8,3.926
2025-12-15 00:25:29,224.4,0.139,22.5,3.926
2025-12-15 00:26:29,224.4,0.141,22.7,3.927
2025-12-15 00:27:25,224.7,0.142,22.9,3.927
2025-12-15 00:28:31,225.2,0.141,22.9,3.928
2025-12-15 00:29:37,225.5,0.14,22.7,3.928
2025-12-15 00:30:39,224.5,0.141,22.8,3.928
2025-12-15 00:31:42,224.4,0.142,22.8,3.929
2025-12-15 00:32:41,223.9,0.14,22.6,3.929
2025-12-15 00:33:37,223.5,0.14,22.5,3.929
2025-12-15 00:34:34,223.3,0.14,22.6,3.93
2025-12-15 00:35:43,223.8,0.141,22.7,3.93
2025-12-15 00:36:43,223.4,0.141,22.7,3.931
2025-12-15 00:37:35,224.4,0.141,22.8,3.931
2025-12-15 00:38:33,224.6,0.141,22.7,3.931
2025-12-15 00:39:23,224.4,0.141,22.7,3.932
2025-12-15 00:40:30,223.6,0.14,22.5,3.932
2025-12-15 00:41:21,223.0,0.139,22.4,3.933
2025-12-15 00:42:13,222.9,0.14,22.3,3.933
2025-12-15 00:43:10,223.1,0.141,22.6,3.933
2025-12-15 00:44:17,223.0,0.141,22.5,3.934
2025-12-15 00:45:17,222.8,0.139,22.3,3.934
2025-12-15 00:46:20,222.5,0.14,22.3,3.934
2025-12-15 00:47:21,222.0,0.139,22.2,3.935
2025-12-15 00:48:27,222.9,0.14,22.4,3.935
2025-12-15 00:49:23,223.4,0.141,22.7,3.936
2025-12-15 00:50:15,223.3,0.141,22.6,3.936
2025-12-15 00:51:10,222.9,0.141,22.5,3.936
2025-12-15 00:52:06,222.5,0.14,22.3,3.937
2025-12-15 00:53:05,222.6,0.14,22.4,3.937
2025-12-15 00:54:10,222.1,0.14,22.5,3.938
2025-12-15 00:55:04,222.4,0.139,22.3,3.938
2025-12-15 00:56:11,222.2,0.14,22.4,3.938
2025-12-15 00:57:06,223.0,0.14,22.4,3.939
2025-12-15 00:58:00,223.7,0.141,22.7,3.939
2025-12-15 00:58:57,223.1,0.14,22.5,3.939
2025-12-15 00:59:50,223.7,0.14,22.5,3.94
2025-12-15 01:00:51,222.8,0.14,22.4,3.94
2025-12-15 01:02:00,222.5,0.14,22.4,3.94
2025-12-15 01:02:54,223.2,0.141,22.6,3.941
2025-12-15 01:04:02,223.6,0.141,22.7,3.941
2025-12-15 01:05:00,222.9,0.14,22.5,3.942
2025-12-15 01:06:01,222.9,0.14,22.4,3.942
2025-12-15 01:07:08,222.4,0.14,22.4,3.942
2025-12-15 01:08:10,222.2,0.14,22.5,3.943
2025-12-15 01:09:17,223.2,0.14,22.4,3.943
2025-12-15 01:10:26,222.7,0.14,22.5,3.944
2025-12-15 01:11:26,223.7,0.14,22.6,3.944
2025-12-15 01:12:29,223.2,0.14,22.5,3.944
2025-12-15 01:13:29,223.2,0.14,22.5,3.945
2025-12-15 01:14:24,223.7,0.141,22.8,3.945
2025-12-15 01:15:32,222.7,0.14,22.5,3.945
2025-12-15 01:16:24,222.4,0.139,22.2,3.946
2025-12-15 01:17:17,222.8,0.141,22.6,3.946
2025-12-15 01:18:25,223.1,0.139,22.3,3.947
2025-12-15 01:19:33,223.5,0.14,22.5,3.947
2025-12-15 01:20:27,223.6,0.14,22.5,3.947
